episode,reward,lives,frame_number
1,0.0,5,16
1,0.0,5,32
1,0.0,5,48
1,0.0,5,64
1,0.0,5,80
1,0.0,5,96
1,0.0,5,112
1,1.0,5,128
1,0.0,5,144
1,0.0,5,160
1,0.0,5,176
1,0.0,5,192
1,0.0,5,208
1,0.0,5,224
1,0.0,5,240
1,0.0,5,256
1,1.0,5,272
1,0.0,5,288
1,0.0,5,304
1,0.0,5,320
1,0.0,5,336
1,0.0,5,352
1,0.0,5,368
1,0.0,5,384
1,1.0,5,400
1,0.0,5,416
1,0.0,5,432
1,0.0,5,448
1,0.0,5,464
1,0.0,5,480
1,0.0,5,496
1,1.0,5,512
1,0.0,5,528
1,0.0,5,544
1,0.0,5,560
1,0.0,5,576
1,0.0,5,592
1,1.0,5,608
1,0.0,5,624
1,0.0,5,640
1,0.0,5,656
1,0.0,5,672
1,0.0,5,688
1,1.0,5,704
1,0.0,5,720
1,0.0,5,736
1,0.0,5,752
1,0.0,5,768
1,0.0,5,784
1,1.0,5,800
1,0.0,5,816
1,0.0,5,832
1,0.0,5,848
1,0.0,5,864
1,0.0,5,880
1,0.0,5,896
1,0.0,5,912
1,0.0,5,928
1,1.0,5,944
1,0.0,5,960
1,0.0,5,976
1,0.0,5,992
1,0.0,5,1008
1,0.0,5,1024
1,0.0,5,1040
1,0.0,5,1056
1,0.0,5,1072
1,0.0,5,1088
1,0.0,5,1104
1,0.0,5,1120
1,1.0,5,1136
1,0.0,5,1152
1,0.0,5,1168
1,0.0,5,1184
1,0.0,5,1200
1,0.0,5,1216
1,0.0,5,1232
1,0.0,5,1248
1,0.0,5,1264
1,0.0,5,1280
1,0.0,5,1296
1,0.0,5,1312
1,1.0,5,1328
1,0.0,5,1344
1,0.0,5,1360
1,0.0,5,1376
1,0.0,5,1392
1,0.0,5,1408
1,0.0,5,1424
1,0.0,5,1440
1,0.0,4,1456
1,0.0,4,1472
1,0.0,4,1488
1,0.0,4,1504
1,0.0,4,1520
1,0.0,4,1536
1,0.0,4,1552
1,0.0,4,1568
1,0.0,4,1584
1,1.0,4,1600
1,0.0,4,1616
1,0.0,4,1632
1,0.0,4,1648
1,0.0,4,1664
1,0.0,4,1680
1,0.0,4,1696
1,0.0,4,1712
1,4.0,4,1728
1,0.0,4,1744
1,0.0,4,1760
1,0.0,4,1776
1,0.0,4,1792
1,0.0,4,1808
1,0.0,4,1824
1,0.0,4,1840
1,0.0,4,1856
1,0.0,4,1872
1,0.0,4,1888
1,1.0,4,1904
1,0.0,4,1920
1,0.0,4,1936
1,0.0,4,1952
1,0.0,4,1968
1,0.0,4,1984
1,0.0,4,2000
1,0.0,4,2016
1,0.0,3,2032
1,0.0,3,2048
1,0.0,3,2064
1,0.0,3,2080
1,0.0,3,2096
1,0.0,3,2112
1,0.0,3,2128
1,0.0,3,2144
1,0.0,3,2160
1,0.0,3,2176
1,1.0,3,2192
1,0.0,3,2208
1,0.0,3,2224
1,0.0,3,2240
1,0.0,3,2256
1,0.0,3,2272
1,0.0,3,2288
1,0.0,3,2304
1,0.0,3,2320
1,0.0,3,2336
1,0.0,3,2352
1,1.0,3,2368
1,0.0,3,2384
1,0.0,3,2400
1,0.0,3,2416
1,0.0,3,2432
1,0.0,3,2448
1,0.0,3,2464
1,0.0,3,2480
1,1.0,3,2496
1,0.0,3,2512
1,0.0,3,2528
1,0.0,3,2544
1,0.0,3,2560
1,0.0,2,2576
1,0.0,2,2592
1,0.0,2,2608
1,0.0,2,2624
1,0.0,2,2640
1,0.0,2,2656
1,0.0,2,2672
1,0.0,2,2688
1,0.0,2,2704
1,4.0,2,2720
1,0.0,2,2736
1,0.0,2,2752
1,0.0,2,2768
1,0.0,2,2784
1,0.0,2,2800
1,0.0,2,2816
1,0.0,2,2832
1,0.0,2,2848
1,4.0,2,2864
1,0.0,2,2880
1,0.0,2,2896
1,0.0,2,2912
1,4.0,2,2928
1,0.0,2,2944
1,0.0,2,2960
1,0.0,2,2976
1,1.0,2,2992
1,0.0,2,3008
1,0.0,2,3024
1,1.0,2,3040
1,0.0,2,3056
1,0.0,2,3072
1,0.0,1,3088
1,0.0,1,3104
1,0.0,1,3120
1,0.0,1,3136
1,0.0,1,3152
1,0.0,1,3168
1,0.0,1,3184
1,0.0,1,3200
1,0.0,1,3216
1,4.0,1,3232
1,0.0,1,3248
1,0.0,1,3264
1,0.0,1,3280
1,4.0,1,3296
1,0.0,1,3312
1,0.0,1,3328
1,0.0,1,3344
1,4.0,1,3360
1,0.0,1,3376
1,0.0,1,3392
1,0.0,0,3402
