episode,reward,lives,frame_number
1,0.0,5,16
1,0.0,5,32
1,0.0,5,48
1,0.0,5,64
1,0.0,5,80
1,0.0,5,96
1,0.0,4,112
1,0.0,4,128
1,0.0,4,144
1,0.0,4,160
1,0.0,4,176
1,0.0,4,192
1,0.0,4,208
1,0.0,4,224
1,0.0,3,240
1,0.0,3,256
1,0.0,3,272
1,0.0,3,288
1,0.0,3,304
1,0.0,3,320
1,0.0,3,336
1,0.0,3,352
1,0.0,3,368
1,1.0,3,384
1,0.0,3,400
1,0.0,3,416
1,0.0,3,432
1,0.0,3,448
1,0.0,3,464
1,0.0,3,480
1,0.0,3,496
1,0.0,2,512
1,0.0,2,528
1,0.0,2,544
1,0.0,2,560
1,0.0,2,576
1,0.0,2,592
1,0.0,2,608
1,0.0,2,624
1,0.0,2,640
1,0.0,2,656
1,0.0,2,672
1,0.0,2,688
1,1.0,2,704
1,0.0,2,720
1,0.0,2,736
1,0.0,2,752
1,0.0,2,768
1,0.0,2,784
1,0.0,2,800
1,0.0,2,816
1,0.0,1,832
1,0.0,1,848
1,0.0,1,864
1,0.0,1,880
1,0.0,1,896
1,0.0,1,912
1,0.0,1,928
1,0.0,1,944
1,0.0,1,960
1,0.0,0,961
2,0.0,5,977
2,0.0,5,993
2,0.0,5,1009
2,0.0,5,1025
2,0.0,5,1041
2,0.0,5,1057
2,0.0,5,1073
2,0.0,4,1089
2,0.0,4,1105
2,0.0,4,1121
2,0.0,4,1137
2,0.0,4,1153
2,0.0,4,1169
2,0.0,4,1185
2,0.0,4,1201
2,0.0,4,1217
2,0.0,3,1233
2,0.0,3,1249
2,0.0,3,1265
2,0.0,3,1281
2,0.0,3,1297
2,0.0,3,1313
2,0.0,3,1329
2,0.0,2,1345
2,0.0,2,1361
2,0.0,2,1377
2,0.0,2,1393
2,0.0,2,1409
2,0.0,2,1425
2,0.0,1,1441
2,0.0,1,1457
2,0.0,1,1473
2,0.0,1,1489
2,0.0,1,1505
2,0.0,1,1521
2,0.0,1,1537
