episode,reward,lives,frame_number
1,0.0,5,16
1,0.0,5,32
1,0.0,5,48
1,0.0,5,64
1,0.0,5,80
1,0.0,5,96
1,0.0,5,112
1,1.0,5,128
1,0.0,5,144
1,0.0,5,160
1,0.0,5,176
1,0.0,5,192
1,0.0,5,208
1,0.0,4,224
1,0.0,4,240
1,0.0,4,256
1,0.0,4,272
1,0.0,4,288
1,0.0,4,304
1,0.0,4,320
1,0.0,4,336
1,0.0,4,352
1,0.0,4,368
1,0.0,4,384
1,1.0,4,400
1,0.0,4,416
1,0.0,4,432
1,0.0,4,448
1,0.0,4,464
1,0.0,3,480
1,0.0,3,496
1,0.0,3,512
1,0.0,3,528
1,0.0,3,544
1,0.0,3,560
1,0.0,3,576
1,0.0,3,592
1,0.0,3,608
1,0.0,3,624
1,1.0,3,640
1,0.0,3,656
1,0.0,3,672
1,0.0,3,688
1,0.0,3,704
1,0.0,3,720
1,0.0,3,736
1,0.0,3,752
1,0.0,3,768
1,0.0,3,784
1,1.0,3,800
1,0.0,3,816
1,0.0,3,832
1,0.0,3,848
1,0.0,3,864
1,0.0,3,880
1,0.0,3,896
1,0.0,3,912
1,0.0,3,928
1,0.0,3,944
1,1.0,3,960
1,0.0,3,976
1,0.0,3,992
1,0.0,3,1008
1,0.0,3,1024
1,0.0,3,1040
1,0.0,3,1056
1,0.0,3,1072
1,0.0,3,1088
1,1.0,3,1104
1,0.0,3,1120
1,0.0,3,1136
1,0.0,3,1152
1,0.0,2,1168
1,0.0,2,1184
1,0.0,2,1200
1,0.0,2,1216
1,0.0,2,1232
1,0.0,2,1248
1,0.0,2,1264
1,0.0,2,1280
1,0.0,2,1296
1,0.0,2,1312
1,0.0,2,1328
1,0.0,2,1344
1,0.0,2,1360
1,1.0,2,1376
1,0.0,2,1392
1,0.0,2,1408
1,0.0,2,1424
1,0.0,2,1440
1,0.0,1,1456
1,0.0,1,1472
1,0.0,1,1488
1,0.0,1,1504
1,0.0,1,1520
1,0.0,1,1536
1,0.0,1,1552
