episode,reward,lives,frame_number
1,0.0,5,16
1,0.0,5,32
1,0.0,5,48
1,0.0,5,64
1,0.0,5,80
1,0.0,5,96
1,0.0,5,112
1,1.0,5,128
1,0.0,5,144
1,0.0,5,160
1,0.0,5,176
1,0.0,5,192
1,0.0,5,208
1,0.0,5,224
1,0.0,5,240
1,0.0,5,256
1,1.0,5,272
1,0.0,5,288
1,0.0,5,304
1,0.0,5,320
1,0.0,5,336
1,0.0,5,352
1,0.0,5,368
1,0.0,5,384
1,1.0,5,400
1,0.0,5,416
1,0.0,5,432
1,0.0,5,448
1,0.0,5,464
1,0.0,4,480
1,0.0,4,496
1,0.0,4,512
1,0.0,4,528
1,0.0,4,544
1,0.0,4,560
1,0.0,4,576
1,0.0,4,592
1,0.0,4,608
1,1.0,4,624
1,0.0,4,640
1,0.0,4,656
1,0.0,4,672
1,0.0,4,688
1,0.0,3,704
1,0.0,3,720
1,0.0,3,736
1,0.0,3,752
1,0.0,3,768
1,0.0,3,784
1,0.0,3,800
1,0.0,3,816
1,0.0,3,832
1,4.0,3,848
1,0.0,3,864
1,0.0,3,880
1,0.0,3,896
1,0.0,3,912
1,0.0,3,928
1,0.0,3,944
1,0.0,3,960
1,1.0,3,976
1,0.0,3,992
1,0.0,3,1008
1,0.0,3,1024
1,0.0,3,1040
1,0.0,3,1056
1,0.0,3,1072
1,0.0,3,1088
1,1.0,3,1104
1,0.0,3,1120
1,0.0,3,1136
1,0.0,3,1152
1,0.0,3,1168
1,0.0,3,1184
1,0.0,3,1200
1,1.0,3,1216
1,0.0,3,1232
1,0.0,3,1248
1,0.0,3,1264
1,0.0,3,1280
1,0.0,3,1296
1,4.0,3,1312
1,0.0,3,1328
1,0.0,3,1344
1,0.0,3,1360
1,0.0,3,1376
1,0.0,3,1392
1,0.0,3,1408
1,1.0,3,1424
1,0.0,3,1440
1,0.0,3,1456
1,0.0,3,1472
1,0.0,3,1488
1,0.0,3,1504
1,1.0,3,1520
1,0.0,3,1536
1,0.0,3,1552
1,0.0,3,1568
1,0.0,3,1584
1,0.0,3,1600
1,0.0,3,1616
1,0.0,3,1632
1,0.0,3,1648
1,1.0,3,1664
1,0.0,3,1680
1,0.0,3,1696
1,0.0,3,1712
1,0.0,3,1728
1,0.0,3,1744
1,0.0,3,1760
1,0.0,2,1776
1,0.0,2,1792
1,0.0,2,1808
1,0.0,2,1824
1,0.0,2,1840
1,0.0,2,1856
1,0.0,2,1872
1,0.0,2,1888
1,0.0,2,1904
1,4.0,2,1920
1,0.0,2,1936
1,0.0,2,1952
1,0.0,2,1968
1,1.0,2,1984
1,0.0,2,2000
1,0.0,2,2016
1,0.0,2,2032
1,1.0,2,2048
1,0.0,2,2064
1,0.0,2,2080
1,1.0,2,2096
1,0.0,2,2112
1,0.0,2,2128
1,0.0,1,2144
1,0.0,1,2160
1,0.0,1,2176
1,0.0,1,2192
1,0.0,1,2208
1,0.0,1,2224
1,0.0,1,2240
1,0.0,1,2256
1,0.0,1,2272
1,4.0,1,2288
1,0.0,1,2304
1,0.0,1,2320
1,0.0,0,2329
