episode,reward,x_pos,coins,score,time,life,flag_get,world,total_deaths
1,-0.75,40,0,0,400,2,False,1,0
1,0.25,40,0,0,400,2,False,1,0
1,0.65,41,0,0,400,2,False,1,0
1,0.65,42,0,0,400,2,False,1,0
1,0.65,43,0,0,400,2,False,1,0
1,0.65,44,0,0,400,2,False,1,0
1,1.05,46,0,0,400,2,False,1,0
1,1.05,48,0,0,400,2,False,1,0
1,1.05,50,0,0,400,2,False,1,0
1,2.6910000000000003,53,0,0,399,2,False,1,0
1,1.0510000000000002,55,0,0,399,2,False,1,0
1,1.6910000000000003,58,0,0,399,2,False,1,0
1,1.6910000000000003,61,0,0,399,2,False,1,0
1,2.171,65,0,0,399,2,False,1,0
1,1.6910000000000003,68,0,0,399,2,False,1,0
1,2.171,72,0,0,399,2,False,1,0
1,1.6910000000000003,75,0,0,399,2,False,1,0
1,2.171,79,0,0,399,2,False,1,0
1,1.6910000000000003,82,0,0,399,2,False,1,0
1,3.1719999999999997,86,0,0,398,2,False,1,0
1,1.6920000000000002,89,0,0,398,2,False,1,0
1,2.1719999999999997,93,0,0,398,2,False,1,0
1,2.1719999999999997,97,0,0,398,2,False,1,0
1,7.172,101,0,0,398,2,False,1,0
1,2.1719999999999997,105,0,0,398,2,False,1,0
1,3.1320000000000006,111,0,0,398,2,False,1,0
1,2.652,116,0,0,398,2,False,1,0
1,3.1320000000000006,122,0,0,398,2,False,1,0
1,3.1320000000000006,128,0,0,398,2,False,1,0
1,4.133000000000001,134,0,0,397,2,False,1,0
1,3.1330000000000005,140,0,0,397,2,False,1,0
1,3.1330000000000005,146,0,0,397,2,False,1,0
1,3.1330000000000005,152,0,0,397,2,False,1,0
1,2.173,156,0,0,397,2,False,1,0
1,1.693,159,0,0,397,2,False,1,0
1,2.173,163,0,0,397,2,False,1,0
1,1.693,166,0,0,397,2,False,1,0
1,2.173,170,0,0,397,2,False,1,0
1,1.693,173,0,0,397,2,False,1,0
1,3.174,177,0,0,396,2,False,1,0
1,1.6940000000000002,180,0,0,396,2,False,1,0
1,2.174,184,0,0,396,2,False,1,0
1,1.6940000000000002,187,0,0,396,2,False,1,0
1,2.174,191,0,0,396,2,False,1,0
1,1.6940000000000002,194,0,0,396,2,False,1,0
1,2.174,198,0,0,396,2,False,1,0
1,6.694,201,0,0,396,2,False,1,0
1,2.174,205,0,0,396,2,False,1,0
1,1.6940000000000002,208,0,0,396,2,False,1,0
1,3.175,212,0,0,395,2,False,1,0
1,1.6950000000000003,215,0,0,395,2,False,1,0
1,2.175,219,0,0,395,2,False,1,0
1,1.6950000000000003,222,0,0,395,2,False,1,0
1,2.175,226,0,0,395,2,False,1,0
1,1.6950000000000003,229,0,0,395,2,False,1,0
1,2.175,233,0,0,395,2,False,1,0
1,1.6950000000000003,236,0,0,395,2,False,1,0
1,2.175,240,0,0,395,2,False,1,0
1,1.6950000000000003,243,0,0,395,2,False,1,0
1,3.176,247,0,0,394,2,False,1,0
1,1.6960000000000002,250,0,0,394,2,False,1,0
1,2.176,254,0,0,394,2,False,1,0
1,1.6960000000000002,257,0,0,394,2,False,1,0
1,2.176,261,0,0,394,2,False,1,0
1,1.6960000000000002,264,0,0,394,2,False,1,0
1,2.176,268,0,0,394,2,False,1,0
1,1.6960000000000002,271,0,0,394,2,False,1,0
1,2.176,275,0,0,394,2,False,1,0
1,1.6960000000000002,278,0,0,394,2,False,1,0
1,3.177,282,0,0,393,2,False,1,0
1,1.697,285,0,0,393,2,False,1,0
1,2.177,289,0,0,393,2,False,1,0
1,1.697,292,0,0,393,2,False,1,0
1,-2.823,296,0,0,393,2,False,1,1
