episode,reward,x_pos,coins,score,time,life,flag_get,world,total_deaths
1,-0.65,40,0,0,400,2,False,1,0
1,0.35,40,0,0,400,2,False,1,0
1,-0.65,40,0,0,400,2,False,1,0
1,-0.65,40,0,0,400,2,False,1,0
1,0.95,41,0,0,400,2,False,1,0
1,0.95,42,0,0,400,2,False,1,0
1,0.95,43,0,0,400,2,False,1,0
1,0.95,44,0,0,400,2,False,1,0
1,1.5499999999999998,46,0,0,400,2,False,1,0
1,1.951,47,0,0,399,2,False,1,0
1,1.551,49,0,0,399,2,False,1,0
1,1.551,51,0,0,399,2,False,1,0
1,1.551,53,0,0,399,2,False,1,0
1,1.551,55,0,0,399,2,False,1,0
1,3.0509999999999997,58,0,0,399,2,False,1,0
1,1.551,60,0,0,399,2,False,1,0
1,3.0509999999999997,63,0,0,399,2,False,1,0
1,3.0509999999999997,66,0,0,399,2,False,1,0
1,3.0509999999999997,69,0,0,399,2,False,1,0
1,4.952,73,0,0,398,2,False,1,0
1,3.0519999999999996,76,0,0,398,2,False,1,0
1,3.9519999999999995,80,0,0,398,2,False,1,0
1,3.0519999999999996,83,0,0,398,2,False,1,0
1,3.9519999999999995,87,0,0,398,2,False,1,0
1,3.0519999999999996,90,0,0,398,2,False,1,0
1,3.9519999999999995,94,0,0,398,2,False,1,0
1,3.0519999999999996,97,0,0,398,2,False,1,0
1,8.952,101,0,0,398,2,False,1,0
1,3.9519999999999995,105,0,0,398,2,False,1,0
1,4.952999999999999,109,0,0,397,2,False,1,0
1,3.053,112,0,0,397,2,False,1,0
1,3.9529999999999994,116,0,0,397,2,False,1,0
1,3.053,119,0,0,397,2,False,1,0
1,3.9529999999999994,123,0,0,397,2,False,1,0
1,3.053,126,0,0,397,2,False,1,0
1,3.9529999999999994,130,0,0,397,2,False,1,0
1,3.053,133,0,0,397,2,False,1,0
1,3.9529999999999994,137,0,0,397,2,False,1,0
1,3.053,140,0,0,397,2,False,1,0
1,4.954,144,0,0,396,2,False,1,0
1,3.054,147,0,0,396,2,False,1,0
1,3.9539999999999997,151,0,0,396,2,False,1,0
1,3.054,154,0,0,396,2,False,1,0
1,3.054,157,0,0,396,2,False,1,0
1,3.9539999999999997,161,0,0,396,2,False,1,0
1,3.054,164,0,0,396,2,False,1,0
1,3.9539999999999997,168,0,0,396,2,False,1,0
1,3.054,171,0,0,396,2,False,1,0
1,3.9539999999999997,175,0,0,396,2,False,1,0
1,4.055,178,0,0,395,2,False,1,0
1,3.9549999999999996,182,0,0,395,2,False,1,0
1,3.0549999999999997,185,0,0,395,2,False,1,0
1,3.9549999999999996,189,0,0,395,2,False,1,0
1,3.0549999999999997,192,0,0,395,2,False,1,0
1,3.9549999999999996,196,0,0,395,2,False,1,0
1,3.0549999999999997,199,0,0,395,2,False,1,0
1,8.055,202,0,0,395,2,False,1,0
1,3.9549999999999996,206,0,0,395,2,False,1,0
1,3.0549999999999997,209,0,0,395,2,False,1,0
1,4.9559999999999995,213,0,0,394,2,False,1,0
1,3.0559999999999996,216,0,0,394,2,False,1,0
1,3.9559999999999995,220,0,0,394,2,False,1,0
1,3.0559999999999996,223,0,0,394,2,False,1,0
1,3.9559999999999995,227,0,0,394,2,False,1,0
1,3.0559999999999996,230,0,0,394,2,False,1,0
1,3.9559999999999995,234,0,0,394,2,False,1,0
1,3.0559999999999996,237,0,0,394,2,False,1,0
1,3.9559999999999995,241,0,0,394,2,False,1,0
1,3.0559999999999996,244,0,0,394,2,False,1,0
1,4.957,248,0,0,393,2,False,1,0
1,3.957,252,0,0,393,2,False,1,0
1,3.957,256,0,0,393,2,False,1,0
1,3.0569999999999995,259,0,0,393,2,False,1,0
1,3.957,263,0,0,393,2,False,1,0
1,4.857,268,0,0,393,2,False,1,0
1,4.857,273,0,0,393,2,False,1,0
1,4.857,278,0,0,393,2,False,1,0
1,10.076999999999998,284,0,0,393,2,False,1,0
1,10.076999999999998,290,0,0,393,2,False,1,0
1,11.078,296,0,0,392,2,False,1,0
1,15.0,302,0,0,392,2,False,1,0
1,10.078,308,0,0,392,2,False,1,0
1,10.078,314,0,0,392,2,False,1,0
1,10.078,320,0,0,392,2,False,1,0
1,10.078,326,0,100,392,2,False,1,0
1,10.078,332,0,100,392,2,False,1,0
1,10.078,338,0,100,392,2,False,1,0
1,10.078,344,0,100,392,2,False,1,0
1,10.078,350,0,100,392,2,False,1,0
1,11.078999999999999,356,0,100,391,2,False,1,0
1,10.078999999999999,362,0,100,391,2,False,1,0
1,10.078999999999999,368,0,100,391,2,False,1,0
1,10.578999999999999,374,1,300,391,2,False,1,0
1,10.078999999999999,380,1,300,391,2,False,1,0
1,10.078999999999999,386,1,300,391,2,False,1,0
1,10.078999999999999,392,1,300,391,2,False,1,0
1,10.078999999999999,398,1,300,391,2,False,1,0
1,10.078999999999999,404,1,300,391,2,False,1,0
