episode,reward,x_pos,coins,score,time,life,flag_get,world,total_deaths
1,-0.005,40,0,0,400,2,False,1,0
1,-0.005,40,0,0,400,2,False,1,0
1,2.1950000000000003,42,0,0,400,2,False,1,0
1,2.1950000000000003,44,0,0,400,2,False,1,0
1,1.195,46,0,0,399,2,False,1,0
1,3.295,49,0,0,399,2,False,1,0
1,3.295,52,0,0,399,2,False,1,0
1,4.3950000000000005,56,0,0,399,2,False,1,0
1,3.295,59,0,0,399,2,False,1,0
1,2.295,62,0,0,398,2,False,1,0
1,1.0950000000000002,63,0,0,398,2,False,1,0
1,-1.005,62,0,0,398,2,False,1,0
1,-1.005,61,0,0,398,2,False,1,0
1,-0.005,61,0,0,398,2,False,1,0
1,0.095,62,0,0,397,2,False,1,0
1,2.1950000000000003,64,0,0,397,2,False,1,0
1,-0.005,64,0,0,397,2,False,1,0
1,-0.005,64,0,0,397,2,False,1,0
1,2.1950000000000003,66,0,0,397,2,False,1,0
1,1.195,68,0,0,396,2,False,1,0
1,2.1950000000000003,70,0,0,396,2,False,1,0
1,2.1950000000000003,72,0,0,396,2,False,1,0
1,2.1950000000000003,74,0,0,396,2,False,1,0
1,2.1950000000000003,76,0,0,396,2,False,1,0
1,2.295,79,0,0,395,2,False,1,0
1,4.3950000000000005,83,0,0,395,2,False,1,0
1,4.3950000000000005,87,0,0,395,2,False,1,0
1,3.295,90,0,0,395,2,False,1,0
1,2.1950000000000003,92,0,0,395,2,False,1,0
1,1.195,94,0,0,394,2,False,1,0
1,-0.005,94,0,0,394,2,False,1,0
1,-0.005,94,0,0,394,2,False,1,0
1,2.1950000000000003,96,0,0,394,2,False,1,0
1,2.1950000000000003,98,0,0,394,2,False,1,0
1,2.295,101,0,0,393,2,False,1,0
1,3.295,104,0,0,393,2,False,1,0
1,2.1950000000000003,106,0,0,393,2,False,1,0
1,2.1950000000000003,108,0,0,393,2,False,1,0
1,3.295,111,0,0,393,2,False,1,0
1,3.395,115,0,0,392,2,False,1,0
1,5.495,120,0,0,392,2,False,1,0
