episode,total_reward,avg_reward,loss,epsilon,timesteps
1,674.56506,6.304346387631425,,,107
2,1154.9633,0.5999809126420454,,,1925
3,1166.8854,1.8760215047854703,,,622
4,693.064,3.0531454884533313,,,227
5,769.42755,1.6232648760960575,,,474
6,1521.2404,1.179256090267684,,,1290
7,255.27512,5.672780354817708,,,45
8,673.5351,7.242312851772513,,,93
9,661.85486,4.441978915425755,,,149
10,657.76013,3.498724105510306,,,188
11,1070.4968,1.7266077841481855,,,620
12,1292.9677,1.261431854992378,,,1025
13,219.99496,3.606474829501793,,,61
14,772.28955,3.478781760275901,,,222
15,278.23004,8.183236514820772,,,34
16,842.9278,0.4318277640420882,,,1952
17,1095.5426,2.3259927867071393,,,471
18,797.2057,1.0802245101308434,,,738
19,1024.69,1.112584084045874,,,921
20,244.17502,3.7565387432391826,,,65
21,691.84015,6.1771441868373325,,,112
22,664.14996,6.0377269398082385,,,110
23,696.0995,3.4804974365234376,,,200
24,888.8501,0.5527674736668221,,,1608
25,239.865,5.103510755173703,,,47
26,257.12506,4.675001109730114,,,55
27,264.10504,6.771924141125801,,,39
28,252.98004,5.749546397816051,,,44
29,678.13354,2.166560846395767,,,313
30,257.52002,7.153333875868055,,,36
31,1039.9813,1.4384250667250174,,,723
32,1012.76,1.14178129624084,,,887
33,665.14496,5.077442431267891,,,131
34,944.17755,0.7136640599165013,,,1323
35,646.6551,4.339967049208264,,,149
36,880.2794,3.6077025366611166,,,244
37,274.10507,7.028335180038061,,,39
38,253.18005,5.754092129794034,,,44
39,714.36206,1.3059635476176874,,,547
40,816.6493,4.298154168379934,,,190
41,1442.893,5.9871076528462135,,,241
42,250.1651,5.322661704205452,,,47
43,269.69507,6.577928496570122,,,41
44,865.16394,0.4846856809129902,,,1785
45,255.39008,6.080716087704613,,,42
46,251.18001,5.708636543967507,,,44
47,682.5301,5.9871060555441336,,,114
48,1085.8275,2.198031406170926,,,494
49,610.63617,0.4327683695489679,,,1411
50,703.47974,4.289510587366616,,,164
51,638.11,5.407711740267479,,,118
52,253.17506,5.626112535264757,,,45
53,628.7597,3.7426172892252603,,,168
54,776.9928,1.6854507545587039,,,461
55,248.76006,5.182501157124837,,,48
56,707.3898,4.981618102167694,,,142
57,256.24005,4.927693293644832,,,52
58,268.63004,4.974630285192419,,,54
59,621.78314,1.623454679085754,,,383
60,263.00003,6.575000762939453,,,40
61,1215.2246,0.7533940541692499,,,1613
62,1294.004,1.1785100440075706,,,1098
63,787.223,1.896922945689006,,,415
64,1022.7252,1.1189553826330005,,,914
65,702.43964,4.083951373432958,,,172
66,1236.7354,0.8077957880878511,,,1531
67,656.02966,4.895743754372668,,,134
68,1542.1213,3.9041046528876584,,,395
69,770.1181,2.048186444221659,,,376
70,893.45465,4.727273285073578,,,189
71,669.1794,3.636844469153363,,,184
72,253.24011,4.870002159705529,,,52
73,209.77005,3.178334091648911,,,66
74,674.45953,3.242593911977915,,,208
75,759.5819,1.2596714911769278,,,603
76,218.72499,3.9768180153586647,,,55
77,1153.5742,6.991358901515151,,,165
78,276.03506,8.36469893022017,,,33
79,256.53006,4.750556663230613,,,54
80,237.82503,4.32409140846946,,,55
81,1426.1168,3.270910140571244,,,436
82,234.46004,4.884584108988444,,,48
83,249.9501,4.999002075195312,,,50
84,778.30457,3.5539021252497145,,,219
85,1419.2863,2.8272634559418575,,,502
86,272.84006,8.526251792907715,,,32
87,266.32504,7.609286934988839,,,35
88,276.30008,6.907501983642578,,,40
89,666.29016,8.125489769912347,,,82
90,1054.2104,1.3926161812665125,,,757
91,272.75003,9.09166768391927,,,30
92,684.27997,6.579615079439604,,,104
93,1110.6885,3.2476271244517543,,,342
94,1286.8334,1.2232256407066897,,,1052
95,958.2481,0.8197160888880721,,,1169
96,713.2624,1.353439070468157,,,527
97,684.42,7.129374821980794,,,96
98,1399.986,2.4054741613643684,,,582
99,251.995,6.146219393102134,,,41
100,695.6996,3.4784979248046874,,,200
101,1470.958,6.451570209703948,,,228
102,277.13507,8.398032448508523,,,33
103,664.2398,5.930712563650949,,,112
104,1314.3247,1.4071999004617237,,,934
105,687.68506,6.676553966929611,,,103
106,1002.08435,0.9805130631956336,,,1022
107,690.8439,2.9906661128584955,,,231
108,665.57513,4.59017333984375,,,145
109,1179.0111,1.7415230552414143,,,677
110,815.79224,1.4541751093192958,,,561
111,870.80396,2.912387809625836,,,299
112,704.8047,4.432733883647798,,,159
113,886.10406,4.0461372828374715,,,219
114,680.98004,6.547885014460637,,,104
115,254.76007,5.307501475016276,,,48
116,789.3899,6.470408955558401,,,122
117,268.41504,7.254460515202703,,,37
118,1619.4397,2.343617506896708,,,691
119,248.68503,3.9473813980344743,,,63
120,1144.969,5.558101913304005,,,206
121,705.0497,4.700331217447917,,,150
122,1071.0513,1.6503101225442989,,,649
123,782.8873,1.4444415666080488,,,542
124,266.67007,5.79717553180197,,,46
125,2012.9182,1.0039492333619078,,,2005
126,682.7246,4.404674899193548,,,155
127,679.76514,6.352945202978972,,,107
128,815.6246,6.041663501880787,,,135
129,643.9749,4.441206307246767,,,145
130,696.7153,5.954831376034989,,,117
131,699.5497,3.681840434827303,,,190
132,1120.2684,3.661007949729371,,,306
133,669.745,7.359835111177885,,,91
134,278.44507,8.982098979334678,,,31
135,255.28506,5.936861969703852,,,43
136,675.6794,4.119996233684261,,,164
137,1094.8329,2.528482415108978,,,433
138,236.65504,4.829694786850287,,,49
139,791.6487,2.729823040140086,,,290
140,861.0081,2.4050506080329086,,,358
141,872.7687,3.0516387299224212,,,286
142,782.7335,2.3505511126360736,,,333
143,272.90005,6.822501373291016,,,40
144,706.24976,4.708331705729167,,,150
145,819.72473,4.684141322544643,,,175
146,895.65466,5.299731734236317,,,169
147,1412.0973,3.9224924723307293,,,360
148,262.1851,6.097327653751817,,,43
149,668.4051,5.616849498588498,,,119
150,1140.8088,4.793314444918592,,,238
151,1032.4714,0.7460053725049675,,,1384
152,707.4649,4.812686427109907,,,147
153,702.87476,4.259847005208333,,,165
154,1457.5283,4.957579320790816,,,294
155,243.25008,4.865001525878906,,,50
156,258.4051,6.625771546975161,,,39
157,1060.3063,1.436729369124746,,,738
158,255.0701,5.545002149498981,,,46
159,1356.775,1.6875311248931126,,,804
160,247.51503,6.689595402898015,,,37
161,1050.4962,1.544847376206342,,,680
162,276.05508,9.519140835466056,,,29
163,705.11456,4.491175560434913,,,157
164,676.5048,5.684914468717174,,,119
165,668.97015,6.311039186873526,,,106
166,768.9501,0.9057126893311984,,,849
167,799.60406,3.6511601138876997,,,219
168,266.14,8.316875457763672,,,32
169,261.70508,6.710386618589744,,,39
170,247.84508,4.8597074022480085,,,51
171,838.33826,1.703939546414507,,,492
172,260.86502,5.550319590467088,,,47
173,270.79007,6.4473826090494795,,,42
174,836.45465,0.44802070213117634,,,1867
175,844.9898,4.642801138070913,,,182
176,2513.725,3.4816137086651664,,,722
177,684.7153,8.892406116832387,,,77
178,658.04987,5.982271506569602,,,110
179,244.37007,5.312392856763757,,,46
180,694.9002,8.68625259399414,,,80
181,271.64502,8.762742565524194,,,31
182,259.60007,6.490001678466797,,,40
183,1391.1561,2.365911782193346,,,588
184,646.39465,5.342104572895145,,,121
185,244.37509,5.430557590060764,,,45
186,706.7148,4.501368042769705,,,157
187,705.5146,4.493723486639132,,,157
188,277.23007,8.153825647690716,,,34
189,664.60016,6.646001586914062,,,100
190,680.4799,5.4877412857547885,,,124
191,1008.92004,1.1530514787946429,,,875
192,845.46924,4.104219603307039,,,206
193,252.00012,6.3000030517578125,,,40
194,871.0189,2.9426314895217485,,,296
195,680.26996,5.3989679245721724,,,126
196,254.19008,6.052144731794085,,,42
197,207.6601,3.0538249296300553,,,68
198,659.5699,5.234681628999256,,,126
199,258.76007,5.390834808349609,,,48
200,707.5197,5.202350840849035,,,136
201,817.6916,1.4073865565498602,,,581
202,701.7296,4.032928817573635,,,174
203,787.3434,2.2431435435585825,,,351
204,671.4245,4.973514811197917,,,135
205,1412.1718,2.796379708771658,,,505
206,757.12366,2.2600706185867536,,,335
207,871.2139,2.9333802297059135,,,297
208,699.1697,3.758976762012769,,,186
209,1376.3156,1.9774648732152478,,,696
210,1029.4617,1.3421925292332137,,,767
211,273.85007,9.128335571289062,,,30
212,849.9531,2.078125,,,409
213,195.18506,3.098175533234127,,,63
214,1167.7972,2.1625874837239585,,,540
215,663.45465,4.452715777710781,,,149
216,271.81506,7.346353066934122,,,37
217,699.88995,6.8616662118949145,,,102
218,1132.2242,4.817975502825798,,,235
219,653.02515,4.837223307291667,,,135
220,699.9397,4.604866429379112,,,152
221,687.6151,7.088815590769975,,,97
222,667.36957,3.5880084294144825,,,186
223,1803.54,3.5294325617661446,,,511
224,798.649,2.957959210431134,,,270
225,1128.324,4.424799900428922,,,255
226,256.48508,5.964769230332485,,,43
227,1423.7123,4.224665520099221,,,337
228,266.94504,5.234216428270527,,,51
229,258.6501,5.173001708984375,,,50
230,1103.1885,2.744249941697761,,,402
231,1645.9506,1.2031802350317526,,,1368
232,776.73834,2.339573320136013,,,332
233,1143.0786,4.68474841508709,,,244
234,1354.33,1.625846285779937,,,833
235,676.9196,4.977350122788373,,,136
236,275.95007,9.198335774739583,,,30
237,705.4395,4.641049435264186,,,152
238,671.78467,4.69779488090035,,,143
239,250.07507,5.557223849826389,,,45
240,672.2446,6.056257918074325,,,111
241,263.00006,6.575001525878906,,,40
242,1005.25494,1.1320438556842976,,,888
243,274.85007,9.161668904622395,,,30
244,781.7598,4.6533323015485495,,,168
245,271.70004,6.792501068115234,,,40
246,671.19525,6.645497539255879,,,101
247,272.63004,8.018530452952666,,,34
248,256.3051,6.571926019130609,,,39
249,661.62,5.703620647561961,,,116
250,1423.2816,3.0740423676262147,,,463
251,2487.366,2.872247074823181,,,866
252,1447.0776,4.20662103697311,,,344
253,823.1221,1.483102829391892,,,555
254,1514.3468,3.8829405173277243,,,390
255,821.6732,2.1342161500608765,,,385
256,254.29503,6.202317772842035,,,41
257,272.84003,8.526250839233398,,,32
258,1143.634,3.903187826631826,,,293
259,1065.8021,1.7793023773346202,,,599
260,799.0913,1.173408676349119,,,681
261,1440.6721,4.432837289663461,,,325
262,683.36993,7.9461620242096656,,,86
263,268.34003,8.385625839233398,,,32
264,686.84973,4.0402925379136025,,,170
265,712.70764,1.3247353933114545,,,538
266,1470.9078,6.180285029050682,,,238
267,269.71506,7.289596145217483,,,37
268,267.325,7.637857491629465,,,35
269,1138.4991,5.1749961159446025,,,220
270,261.81506,7.076082796663852,,,37
271,891.1197,5.7123057047526045,,,156
272,679.6551,7.636574048674508,,,89
273,254.68005,5.788183038884943,,,44
274,264.10507,6.771924923627805,,,39
275,706.1747,4.87017022494612,,,145
276,267.13007,7.8567666446461395,,,34
277,262.92508,7.512145124162946,,,35
278,1120.1229,2.835754240011867,,,395
279,1389.4963,2.24112312563004,,,620
280,647.4298,4.831565743062034,,,134
281,1136.279,5.569995356541054,,,204
282,812.0534,1.9854606497841534,,,409
283,254.29004,6.054524739583333,,,42
284,1435.9181,5.609055042266846,,,256
285,673.6451,6.068874599697353,,,111
286,237.05505,4.837858238998725,,,49
287,682.34454,2.5178765441218864,,,271
288,268.34003,8.385625839233398,,,32
289,1129.3589,4.553866478704637,,,248
290,806.3998,5.039998626708984,,,160
291,259.52505,7.4150015694754465,,,35
292,717.8601,8.157501220703125,,,88
293,1128.8738,3.7012255058913937,,,305
294,682.63477,6.041015625,,,113
295,703.22473,4.53693375126008,,,155
296,1450.2081,5.216576006772707,,,278
297,1132.914,4.408225449142753,,,257
298,678.14,6.0548215593610495,,,112
299,1119.1733,3.4436102764423078,,,325
300,1115.723,2.824615246736551,,,395
301,704.6299,4.575518719561688,,,154
302,717.53503,7.715430475050403,,,93
303,693.37506,6.603572009858631,,,105
304,277.1501,9.238336181640625,,,30
305,714.15015,6.492274058948864,,,110
306,664.39,6.513627594592524,,,102
307,680.7551,7.64893401070927,,,89
308,271.815,7.346351417335304,,,37
309,669.9152,8.7001976904931,,,77
310,271.93005,7.997942756204044,,,34
311,683.09515,8.433273503809799,,,81
312,260.53506,7.895001960523201,,,33
313,669.905,5.629454027704832,,,119
314,776.43915,3.6624488110812203,,,212
315,691.495,6.846485100170173,,,101
316,1048.8916,1.5868254184001513,,,661
317,276.13507,8.367729418205492,,,33
318,1379.2957,1.97042236328125,,,700
319,1110.6132,3.110961230195203,,,357
320,2092.6711,5.733345596104452,,,365
321,682.63495,5.132593599477208,,,133
322,214.71002,3.7018969305630387,,,58
323,1631.0308,2.4977500179460184,,,653
324,671.7051,8.502595925632912,,,79
325,705.8597,4.769322163349873,,,148
326,274.04007,8.563752174377441,,,32
327,268.42505,7.669287109375,,,35
328,273.75504,9.439828806910022,,,29
329,676.9096,4.2842380185670494,,,158
330,900.56464,6.1262900423841415,,,147
331,272.84006,8.526251792907715,,,32
332,1475.2833,7.267405542834052,,,203
333,269.52005,7.486668056911892,,,36
334,274.93005,8.086178050321692,,,34
335,793.8445,4.642365394279971,,,171
336,1127.0426,3.404962545435234,,,331
337,809.20337,1.9312729573761933,,,419
338,1388.2865,2.2319718633817325,,,622
339,1112.2377,3.159766110506925,,,352
340,686.1153,7.073353560929446,,,97
341,254.18512,5.911281851835029,,,43
342,1130.7589,4.959468908477247,,,228
343,692.31445,3.190389184907834,,,217
344,1056.8422,1.6748687212138471,,,631
345,258.40005,6.460001373291016,,,40
346,676.4001,8.455001068115234,,,80
347,1141.8589,5.0081530119243425,,,228
348,271.82507,7.7664306640625,,,35
349,1171.1742,7.0980254202178035,,,165
350,770.9231,2.055794921875,,,375
351,267.14,8.348125457763672,,,32
352,1139.2944,5.155178432550905,,,221
353,873.5291,3.1880624590128877,,,274
354,1234.7333,3.707907736838401,,,333
355,1457.7435,8.52481596651133,,,171
356,707.7848,4.94954398628715,,,143
357,276.14502,8.907903855846774,,,31
358,652.8499,5.93499922318892,,,110
359,702.6746,4.2586340701941285,,,165
360,274.96506,10.18389101381655,,,27
361,1452.5677,7.051299752540959,,,206
362,1030.9159,1.3636453618448248,,,756
363,666.7498,7.408331298828125,,,90
364,1088.7617,1.7936766371499175,,,607
365,702.595,4.363943917410714,,,161
366,706.17456,4.870169383081897,,,145
367,672.7253,8.96967041015625,,,75
368,255.40009,6.385002136230469,,,40
369,265.12012,7.364447699652778,,,36
370,261.81,6.88973677785773,,,38
371,794.76935,3.8581036317695694,,,206
372,2092.361,5.70125635963045,,,367
